证券代码,证券名称,买入日期,卖出日期,买入持仓,交易盈亏
002657,中科金财,2025-08-14,2025-08-15,361672.0,18026.0
002658,雪迪龙,2025-06-30,2025-07-04,290493.0,75702.71999999999
002670,国盛金控,2025-06-24,2025-06-27,280308.0,57856.73
002670,国盛金控,2025-07-23,2025-07-24,335284.0,-4219.299999999999
002674,兴业科技,2025-07-10,2025-07-11,330925.0,-541.1800000000001
002676,顺威股份,2025-06-18,2025-06-19,811509.0,22097.16
002683,广东宏大,2025-05-07,2025-05-08,78600.0,-5131.82
002716,湖南白银,2025-08-25,2025-08-26,72226.0,-1810.25
002722,物产金轮,2025-07-16,2025-07-17,305166.0,3710.5200000000004
002727,一心堂,2025-05-20,2025-05-22,150048.0,14996.0
002820,桂发祥,2025-06-25,2025-06-26,280120.0,-6852.53
002821,凯莱英,2025-04-24,2025-04-25,44262.0,28.83
002821,凯莱英,2025-07-11,2025-07-14,321750.0,-2598.29
002824,和胜股份,2025-08-07,2025-08-08,82665.0,-3275.84
002833,弘亚数控,2025-08-13,2025-08-14,360272.0,-19813.0
002842,翔鹭钨业,2025-08-28,2025-08-28,90596.0,-14.5
002851,麦格米特,2025-07-18,2025-07-21,321090.0,-3824.37
002859,洁美科技,2025-07-29,2025-07-30,376838.0,-6234.62
002865,钧达股份,2025-07-08,2025-07-08,371403.0,-59.42
002882,金龙羽,2025-05-20,2025-05-22,51354.0,4451.0
002892,科力尔,2025-05-12,2025-05-13,82662.0,5980.5
002896,中大力德,2025-08-06,2025-08-07,377520.0,24856.48
002901,大博医疗,2025-07-15,2025-07-16,199728.0,-6567.55
002902,铭普光磁,2025-08-01,2025-08-04,360930.0,-3979.449999999999
002915,中欣氟材,2025-07-14,2025-07-15,321309.0,11795.35
002915,中欣氟材,2025-08-13,2025-08-14,350320.0,-5055.0
002927,泰永长征,2025-07-09,2025-07-10,316575.0,-11982.33
002929,润建股份,2025-05-20,2025-05-21,165632.0,2507.0
002929,润建股份,2025-08-27,2025-08-28,374680.0,-19786.309999999998
002939,长城证券,2025-08-13,2025-08-14,360552.0,21553.0
002950,奥美医疗,2025-08-27,2025-08-28,380196.0,-14992.19
002953,南方精工,2025-07-15,2025-07-15,108900.0,-7578.63
002961,瑞达期货,2025-05-14,2025-05-15,165700.0,1849.32
002965,祥鑫科技,2025-07-29,2025-07-29,382944.0,-61.27
002981,朝阳科技,2025-07-03,2025-07-04,371391.0,13566.76
002987,京北方,2025-04-18,2025-04-21,79086.0,-3954.0
003002,壶化股份,2025-07-21,2025-07-23,351780.0,73923.0
003009,中天火箭,2025-06-25,2025-06-26,280980.0,13103.04
003016,欣贺股份,2025-07-30,2025-07-31,313344.0,-84285.28
003021,兆威机电,2025-04-23,2025-04-24,50156.0,1008.4
003029,吉大正元,2025-04-22,2025-04-23,42028.0,2682.0
003037,三和管桩,2025-04-29,2025-04-30,80156.0,-718.76
003040,楚天龙,2025-08-08,2025-08-11,372182.0,-1508.53
300609,北特科技,2025-05-23,2025-05-23,103818.0,-22.08
300708,景旺电子,2025-06-26,2025-06-26,280960.0,0.0
600006,东风股份,2025-05-20,2025-05-21,17226.0,-462.0
600010,包钢股份,2025-08-25,2025-08-26,72059.0,-3506.33
600053,九鼎投资,2025-04-18,2025-04-21,40861.0,-528.68
600053,九鼎投资,2025-04-25,2025-04-28,78176.0,-5393.23
600053,九鼎投资,2025-05-06,2025-05-07,80304.0,6351.62
600081,东风科技,2025-05-22,2025-05-23,49088.0,-1411.88
600105,永鼎股份,2025-07-01,2025-07-02,350730.0,-9142.67
600114,东睦股份,2025-07-24,2025-07-25,350217.0,5815.66
600152,维科技术,2025-06-27,2025-06-30,280260.0,25995.0
600158,中体产业,2025-06-09,2025-06-10,242638.0,-5648.93
600161,天坛生物,2025-08-04,2025-08-05,342268.0,-16349.430000000002
600172,黄河旋风,2025-05-27,2025-05-28,200560.0,6323.85
600173,卧龙新能,2025-07-11,2025-07-14,253820.0,25305.02
600184,光电股份,2025-05-09,2025-05-12,151736.0,-9801.61
600189,泉阳泉,2025-05-27,2025-05-28,202608.0,-1548.32
600203,福日电子,2025-08-12,2025-08-13,360672.0,4912.0
600233,圆通速递,2025-07-10,2025-07-11,331089.0,-2094.2799999999997
600308,华泰股份,2025-04-21,2025-04-23,80300.0,6328.0
600310,广西能源,2025-04-24,2025-04-25,74392.11,-474.21
600320,振华重工,2025-07-02,2025-07-03,370260.0,1862.0
600330,天通股份,2025-07-29,2025-07-30,366744.0,-90.15999999999985
600336,澳柯玛,2025-04-30,2025-05-06,39780.0,49.710000000000036
600338,西藏珠峰,2025-07-22,2025-07-23,350674.0,-21601.0
600343,航天动力,2025-07-18,2025-07-21,320392.0,-3353.26
600353,旭光电子,2025-06-09,2025-06-11,250404.0,25845.07
600353,旭光电子,2025-08-27,2025-08-28,89250.0,-171.54999999999995
600361,创新新材,2025-08-20,2025-08-21,350224.0,11579.13
600367,红星发展,2025-06-12,2025-06-16,250948.0,10208.16
600391,航发科技,2025-06-25,2025-06-26,282117.0,4040.86
600392,盛和资源,2025-05-06,2025-05-07,81480.0,2123.8
600410,华胜天成,2025-08-11,2025-08-12,360680.0,4896.0
600410,华胜天成,2025-08-14,2025-08-15,361543.0,13102.0
600444,国机通用,2025-07-18,2025-07-22,320208.0,32960.04
600523,贵航股份,2025-07-09,2025-07-10,318861.0,-16927.29
600539,狮头股份,2025-08-25,2025-08-26,288477.0,2845.33
600550,保变电气,2025-05-19,2025-05-20,160740.0,11515.0
600588,用友网络,2025-07-15,2025-07-16,320568.0,1567.93
600588,用友网络,2025-07-31,2025-08-01,364320.0,822.1900000000005
600589,大位科技,2025-06-27,2025-06-30,271622.0,-7528.0
