,date,nav_unit,nav_accumulated,nav_adjusted,885007.WI
53,2024-12-30,1.0118,1.0118,1.0118,1.0241143825325798
54,2024-12-31,1.0118,1.0118,1.0118,1.022107992624399
55,2025-01-02,1.0124,1.0124,1.0124,1.0196014541718494
56,2025-01-03,1.0124,1.0124,1.0124,1.0180535756091045
57,2025-01-06,1.0123,1.0123,1.0123,1.0176070114197446
58,2025-01-07,1.0123,1.0123,1.0123,1.0191981801154506
59,2025-01-08,1.0124,1.0124,1.0124,1.0187740037667226
60,2025-01-09,1.0124,1.0124,1.0124,1.0183958166457612
61,2025-01-10,1.0124,1.0124,1.0124,1.0165043579605646
62,2025-01-13,1.0125,1.0125,1.0125,1.015559340007295
63,2025-01-14,1.0279,1.0279,1.0279,1.0206027764981487
64,2025-01-15,1.028,1.028,1.028,1.0202765835678145
65,2025-01-16,1.0279,1.0279,1.0279,1.0202690721334342
66,2025-01-17,1.028,1.028,1.028,1.021334858886825
67,2025-01-20,1.0232,1.0232,1.0232,1.0221747586052008
68,2025-01-21,1.0233,1.0233,1.0233,1.0234327878630118
69,2025-01-22,1.0245,1.0245,1.0245,1.0224842548095305
70,2025-01-23,1.0245,1.0245,1.0245,1.0218126614369925
71,2025-01-24,1.0238,1.0238,1.0238,1.024063748350963
72,2025-01-27,1.0366,1.0366,1.0366,1.0237520133625697
73,2025-02-05,1.0371,1.0371,1.0371,1.0239884247750037
74,2025-02-06,1.0383,1.0383,1.0383,1.0275953779026699
75,2025-02-07,1.038,1.038,1.038,1.0298663418714071
76,2025-02-10,1.0437,1.0437,1.0437,1.030273340260173
77,2025-02-11,1.0445,1.0445,1.0445,1.0296138614294352
78,2025-02-12,1.0561,1.0561,1.0561,1.0313615985470586
79,2025-02-13,1.0634,1.0634,1.0634,1.0299265588857434
80,2025-02-14,1.0616,1.0616,1.0616,1.0306921393425057
81,2025-02-17,1.0587,1.0587,1.0587,1.0302769599764623
82,2025-02-18,1.062,1.062,1.062,1.0277042832395773
83,2025-02-19,1.0612,1.0612,1.0612,1.0306689354964673
84,2025-02-20,1.0624,1.0624,1.0624,1.030568378522562
85,2025-02-21,1.0648,1.0648,1.0648,1.0325444716146346
86,2025-02-24,1.0655,1.0655,1.0655,1.031106837474592
87,2025-02-25,1.0695,1.0695,1.0695,1.0298844822992839
88,2025-02-26,1.0702,1.0702,1.0702,1.0326010270662507
89,2025-02-27,1.0708,1.0708,1.0708,1.0317742880504523
90,2025-02-28,1.0722,1.0722,1.0722,1.0271198559829964
91,2025-03-03,1.0726,1.0726,1.0726,1.027194656478567
92,2025-03-04,1.0772,1.0772,1.0772,1.0283186097711707
93,2025-03-05,1.0786,1.0786,1.0786,1.0297837160932228
94,2025-03-06,1.0831,1.0831,1.0831,1.0323555768247015
95,2025-03-07,1.0861,1.0861,1.0861,1.0313052732508132
96,2025-03-10,1.0831,1.0831,1.0831,1.031011176533124
97,2025-03-11,1.0834,1.0834,1.0834,1.0297689652262643
98,2025-03-12,1.0808,1.0808,1.0808,1.0302115121582398
99,2025-03-13,1.0827,1.0827,1.0827,1.0288857544517123
100,2025-03-14,1.083,1.083,1.083,1.0325665246838183
101,2025-03-17,1.0846,1.0846,1.0846,1.0319532233897863
102,2025-03-18,1.0832,1.0832,1.0832,1.0328892652835875
103,2025-03-19,1.0831,1.0831,1.0831,1.0321734611566047
104,2025-03-20,1.0831,1.0831,1.0831,1.0317979731304483
105,2025-03-21,1.0807,1.0807,1.0807,1.0286440076193144
106,2025-03-24,1.0807,1.0807,1.0807,1.0289350913939654
107,2025-03-25,1.0807,1.0807,1.0807,1.029360188364177
108,2025-03-26,1.0814,1.0814,1.0814,1.0300455073661121
109,2025-03-27,1.0814,1.0814,1.0814,1.030351927857757
110,2025-03-28,1.0826,1.0826,1.0826,1.0291470226442128
111,2025-03-31,1.0826,1.0826,1.0826,1.0278675470904688
112,2025-04-01,1.0837,1.0837,1.0837,1.0288892904751392
113,2025-04-02,1.0843,1.0843,1.0843,1.0296647466896387
114,2025-04-03,1.0859,1.0859,1.0859,1.0293306866302598
115,2025-04-07,1.0855,1.0855,1.0855,1.0159980161443949
116,2025-04-08,1.0854,1.0854,1.0854,1.0177232817285238
117,2025-04-09,1.0852,1.0852,1.0852,1.0205221802718722
118,2025-04-10,1.0887,1.0887,1.0887,1.0238112888322064
119,2025-04-11,1.0899,1.0899,1.0899,1.0242200238478625
120,2025-04-14,1.0904,1.0904,1.0904,1.02549713507825
121,2025-04-15,1.0906,1.0906,1.0906,1.0247264702801102
122,2025-04-16,1.0912,1.0912,1.0912,1.0238142390055982
123,2025-04-17,1.091,1.091,1.091,1.0240661545207503
124,2025-04-18,1.0891,1.0891,1.0891,1.0239039159074206
125,2025-04-20,1.0891,1.0891,1.0891,
126,2025-04-20,1.0891,1.0891,1.0891,
127,2025-04-20,1.0891,1.0891,1.0891,
128,2025-04-20,1.0891,1.0891,1.0891,
129,2025-04-20,1.0891,1.0891,1.0891,
