date,nav_unit,nav_accumulated,nav_adjusted,885007.WI,excess_nav
2025-03-07,1.0861,1.0861,1.0861,1.0313,1.0548
2025-03-10,1.0831,1.0831,1.0831,1.031,1.0521
2025-03-11,1.0834,1.0834,1.0834,1.0298,1.0536
2025-03-12,1.0808,1.0808,1.0808,1.0302,1.0506
2025-03-13,1.0827,1.0827,1.0827,1.0289,1.0538
2025-03-14,1.083,1.083,1.083,1.0326,1.0504
2025-03-17,1.0846,1.0846,1.0846,1.032,1.0526
2025-03-18,1.0832,1.0832,1.0832,1.0329,1.0503
2025-03-19,1.0831,1.0831,1.0831,1.0322,1.0509
2025-03-20,1.0831,1.0831,1.0831,1.0318,1.0513
2025-03-21,1.0807,1.0807,1.0807,1.0286,1.0521
2025-03-24,1.0807,1.0807,1.0807,1.0289,1.0518
2025-03-25,1.0807,1.0807,1.0807,1.0294,1.0513
2025-03-26,1.0814,1.0814,1.0814,1.03,1.0514
2025-03-27,1.0814,1.0814,1.0814,1.0304,1.051
2025-03-28,1.0826,1.0826,1.0826,1.0291,1.0535
2025-03-31,1.0826,1.0826,1.0826,1.0279,1.0547
2025-04-01,1.0837,1.0837,1.0837,1.0289,1.0548
2025-04-02,1.0843,1.0843,1.0843,1.0297,1.0546
2025-04-03,1.0859,1.0859,1.0859,1.0293,1.0566
2025-04-07,1.0855,1.0855,1.0855,1.016,1.0695
2025-04-08,1.0854,1.0854,1.0854,1.0177,1.0677
2025-04-09,1.0852,1.0852,1.0852,1.0205,1.0647
2025-04-10,1.0887,1.0887,1.0887,1.0238,1.0649
2025-04-11,1.0899,1.0899,1.0899,1.0242,1.0657
2025-04-14,1.0904,1.0904,1.0904,1.0255,1.0649
2025-04-15,1.0906,1.0906,1.0906,1.0247,1.0659
2025-04-16,1.0912,1.0912,1.0912,1.0238,1.0674
2025-04-17,1.091,1.091,1.091,1.0241,1.0669
2025-04-18,1.0891,1.0891,1.0891,1.0239,1.0652
2025-04-21,1.0891,1.0891,1.0891,1.0255,1.0636
2025-04-22,1.0895,1.0895,1.0895,1.0261,1.0634
2025-04-23,1.0899,1.0899,1.0899,1.0265,1.0634
2025-04-24,1.0903,1.0903,1.0903,1.0257,1.0646
2025-04-25,1.0909,1.0909,1.0909,1.0261,1.0648
2025-04-28,1.0909,1.0909,1.0909,1.0252,1.0657
2025-04-29,1.0914,1.0914,1.0914,1.0263,1.0651
2025-04-30,1.0915,1.0915,1.0915,1.027,1.0645
2025-05-06,1.0919,1.0919,1.0919,1.03,1.0619
2025-05-07,1.0949,1.0949,1.0949,1.0301,1.0648
2025-05-08,1.0952,1.0952,1.0952,1.0317,1.0635
2025-05-09,1.0944,1.0944,1.0944,1.0311,1.0633
2025-05-12,1.0962,1.0962,1.0962,1.0326,1.0636
2025-05-13,1.0963,1.0963,1.0963,1.0328,1.0635
2025-05-14,1.0945,1.0945,1.0945,1.0333,1.0612
2025-05-15,1.0974,1.0974,1.0974,1.0314,1.066
2025-05-16,1.0975,1.0975,1.0975,1.0313,1.0662
2025-05-19,1.0975,1.0975,1.0975,1.0318,1.0657
2025-05-20,1.0975,1.0975,1.0975,1.0331,1.0644
2025-05-21,1.0983,1.0983,1.0983,1.0338,1.0645
2025-05-22,1.0985,1.0985,1.0985,1.0328,1.0657
2025-05-23,1.0981,1.0981,1.0981,1.0316,1.0665
2025-05-26,1.0981,1.0981,1.0981,1.0314,1.0667
2025-05-27,1.0986,1.0986,1.0986,1.0304,1.0682
2025-05-28,1.0989,1.0989,1.0989,1.0304,1.0685
2025-05-29,1.0993,1.0993,1.0993,1.0316,1.0677
2025-05-30,1.0999,1.0999,1.0999,1.0312,1.0687
2025-06-03,1.1006,1.1006,1.1006,1.0322,1.0684
2025-06-04,1.101,1.101,1.101,1.0338,1.0672
2025-06-05,1.1011,1.1011,1.1011,1.0345,1.0666
2025-06-06,1.1013,1.1013,1.1013,1.0351,1.0662
