复权净值,累计净值,最大回撤,单位净值,涨跌幅,日期,管理人名称,产品代码,产品名称,产品简称,管理人规模,策略类型
1.046,1.046,0.0,1.046,0.0038387715930902145,2017-09-29,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.052,1.052,0.0,1.052,0.00573613766730402,2017-10-09,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.052,1.052,0.0,1.052,0.0,2017-10-10,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.052,1.052,0.0,1.052,0.0,2017-10-11,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.053,1.053,0.0,1.053,0.0009505703422052185,2017-10-12,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.047,1.047,-0.0056980056980057035,1.047,-0.0056980056980057035,2017-10-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.039,1.039,-0.013295346628679974,1.039,-0.007640878701050628,2017-10-16,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.048,1.048,-0.004748338081671314,1.048,0.0086621751684313,2017-10-17,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.048,1.048,-0.004748338081671314,1.048,0.0,2017-10-18,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.047,1.047,-0.0056980056980057035,1.047,-0.0009541984732825495,2017-10-19,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.045,1.045,-0.007597340930674271,1.045,-0.001910219675262657,2017-10-20,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.043,1.043,-0.009496676163342838,1.043,-0.0019138755980861262,2017-10-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.044,1.044,-0.008547008547008449,1.044,0.0009587727708534152,2017-10-24,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.04,1.04,-0.012345679012345585,1.04,-0.003831417624521076,2017-10-25,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.04,1.04,-0.012345679012345585,1.04,0.0,2017-10-26,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.04,1.04,-0.012345679012345585,1.04,0.0,2017-10-27,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.041,1.041,-0.011396011396011407,1.041,0.0009615384615383556,2017-10-30,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.042,1.042,-0.010446343779677018,1.042,0.0009606147934679269,2017-10-31,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.037,1.037,-0.015194681861348543,1.037,-0.0047984644913628745,2017-11-01,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.034,1.034,-0.01804368471035129,1.034,-0.0028929604628735697,2017-11-02,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.032,1.032,-0.019943019943019856,1.032,-0.00193423597678917,2017-11-03,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.032,1.032,-0.019943019943019856,1.032,0.0,2017-11-06,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.034,1.034,-0.01804368471035129,1.034,0.0019379844961240327,2017-11-07,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.032,1.032,-0.019943019943019856,1.032,-0.00193423597678917,2017-11-08,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.035,1.035,-0.01709401709401711,1.035,0.0029069767441859415,2017-11-09,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.031,1.031,-0.020892687559354247,1.031,-0.003864734299516912,2017-11-10,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.03,1.03,-0.021842355175688423,1.03,-0.0009699321047525605,2017-11-13,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.032,1.032,-0.019943019943019856,1.032,0.0019417475728155356,2017-11-14,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.022,1.022,-0.029439696106362694,1.022,-0.009689922480620164,2017-11-15,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.022,1.022,-0.029439696106362694,1.022,0.0,2017-11-16,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.022,1.022,-0.029439696106362694,1.022,0.0,2017-11-17,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.022,1.022,-0.029439696106362694,1.022,0.0,2017-11-20,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.02,1.02,-0.031339031339031265,1.02,-0.001956947162426616,2017-11-21,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.019,1.019,-0.03228869895536565,1.019,-0.0009803921568628548,2017-11-22,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.03323836657169983,1.018,-0.0009813542688909616,2017-11-23,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.03323836657169983,1.018,0.0,2017-11-24,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.03323836657169983,1.018,0.0,2017-11-27,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.015,1.015,-0.036087369420702786,1.015,-0.00294695481335964,2017-11-28,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.018,1.018,-0.03323836657169983,1.018,0.002955665024630654,2017-11-29,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.023,1.023,-0.02849002849002852,1.023,0.004911591355599109,2017-11-30,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.027,1.027,-0.02469135802469138,1.027,0.003910068426197462,2017-12-01,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.034,1.034,-0.01804368471035129,1.034,0.0068159688412854115,2017-12-04,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.035,1.035,-0.01709401709401711,1.035,0.0009671179883944776,2017-12-05,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.03,1.03,-0.021842355175688423,1.03,-0.004830917874396033,2017-12-06,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
1.013,1.013,-0.03798670465337135,1.013,-0.016504854368932162,2017-12-07,上海远澜,SS9088,远澜翠柏1号私募证券投资基金,远澜翠柏1号,20-50亿元,套利策略_期货套利
