date,nav_unit,nav_accumulated,nav_adjusted,H11009.CSI,excess_nav
2018-03-30,1.031,1.031,1.031,1.0342,0.9968
2018-04-04,1.023,1.023,1.023,1.0363,0.9867
2018-04-13,1.022,1.022,1.022,1.0397,0.9823
2018-04-20,1.019,1.019,1.019,1.0483,0.9707
2018-04-27,1.013,1.013,1.013,1.0463,0.9667
2018-05-04,1.014,1.014,1.014,1.0468,0.9672
2018-05-11,1.017,1.017,1.017,1.0453,0.9717
2018-05-18,1.03,1.03,1.03,1.0445,0.9855
2018-05-25,1.026,1.026,1.026,1.0471,0.9789
2018-06-01,1.027,1.027,1.027,1.048,0.979
2018-06-08,1.031,1.031,1.031,1.0474,0.9836
2018-06-15,1.028,1.028,1.028,1.0488,0.9792
2018-06-22,1.052,1.052,1.052,1.0509,1.0011
2018-06-29,1.036,1.036,1.036,1.0545,0.9815
2018-07-06,1.047,1.047,1.047,1.0584,0.9886
2018-07-13,1.05,1.05,1.05,1.0595,0.9905
2018-07-20,1.033,1.033,1.033,1.0623,0.9707
2018-07-27,1.041,1.041,1.041,1.0636,0.9774
2018-08-03,1.063,1.063,1.063,1.0688,0.9942
2018-08-10,1.079,1.079,1.079,1.0683,1.0107
2018-08-17,1.078,1.078,1.078,1.0656,1.0124
2018-08-24,1.08,1.08,1.08,1.0649,1.0151
2018-08-31,1.076,1.076,1.076,1.0659,1.0101
2018-09-07,1.085,1.085,1.085,1.0657,1.0193
2018-09-14,1.093,1.093,1.093,1.0655,1.0275
2018-09-21,1.087,1.087,1.087,1.066,1.021
2018-09-28,1.093,1.093,1.093,1.0684,1.0246
2018-10-12,1.116,1.116,1.116,1.0722,1.0438
2018-10-19,1.13,1.13,1.13,1.0744,1.0556
2018-10-26,1.131,1.131,1.131,1.0764,1.0546
2018-11-02,1.165,1.165,1.165,1.0785,1.0865
2018-11-09,1.163,1.163,1.163,1.0811,1.0819
2018-11-16,1.153,1.153,1.153,1.086,1.067
2018-11-23,1.167,1.167,1.167,1.0874,1.0796
2018-11-30,1.176,1.176,1.176,1.0885,1.0875
2018-12-07,1.157,1.157,1.157,1.0923,1.0647
2018-12-14,1.15,1.15,1.15,1.0927,1.0573
2018-12-21,1.143,1.143,1.143,1.0934,1.0496
2018-12-28,1.162,1.162,1.162,1.0959,1.0661
2019-01-04,1.16,1.16,1.16,1.1011,1.0589
2019-01-11,1.141,1.141,1.141,1.1038,1.0372
2019-01-18,1.156,1.156,1.156,1.105,1.051
2019-01-25,1.169,1.169,1.169,1.1043,1.0647
2019-02-01,1.175,1.175,1.175,1.106,1.069
2019-02-15,1.154,1.154,1.154,1.1089,1.0451
2019-02-22,1.15,1.15,1.15,1.1085,1.0415
2019-03-01,1.147,1.147,1.147,1.1064,1.0406
2019-03-08,1.163,1.163,1.163,1.1073,1.0557
2019-03-15,1.165,1.165,1.165,1.1072,1.0578
2019-03-22,1.136,1.136,1.136,1.1082,1.0278
2019-03-29,1.128,1.128,1.128,1.1108,1.0172
2019-04-04,1.16,1.16,1.16,1.1075,1.0525
2019-04-12,1.171,1.171,1.171,1.1064,1.0646
2019-04-19,1.171,1.171,1.171,1.1041,1.0669
2019-04-26,1.178,1.178,1.178,1.1035,1.0745
2019-04-30,1.156,1.156,1.156,1.104,1.052
2019-05-10,1.171,1.171,1.171,1.1086,1.0624
2019-05-17,1.2,1.2,1.2,1.1108,1.0892
2019-05-24,1.224,1.224,1.224,1.1109,1.1131
2019-05-31,1.22,1.22,1.22,1.112,1.108
2019-06-06,1.217,1.217,1.217,1.1142,1.1028
2019-06-14,1.223,1.223,1.223,1.1145,1.1085
2019-06-21,1.225,1.225,1.225,1.1164,1.1086
2019-06-28,1.231,1.231,1.231,1.1178,1.1132
2019-07-05,1.239,1.239,1.239,1.1214,1.1176
2019-07-12,1.24,1.24,1.24,1.122,1.118
2019-07-19,1.23,1.23,1.23,1.1228,1.1072
2019-07-26,1.208,1.208,1.208,1.1239,1.0841
2019-08-02,1.188,1.188,1.188,1.1263,1.0617
2019-08-09,1.255,1.255,1.255,1.1299,1.1251
2019-08-16,1.225,1.225,1.225,1.1319,1.0931
2019-08-23,1.2,1.2,1.2,1.1317,1.0683
2019-08-30,1.217,1.217,1.217,1.1319,1.0851
2019-09-06,1.261,1.261,1.261,1.1337,1.1273
2019-09-12,1.247,1.247,1.247,1.1335,1.1135
2019-09-20,1.254,1.254,1.254,1.1332,1.1208
2019-09-27,1.243,1.243,1.243,1.133,1.11
2019-09-30,1.238,1.238,1.238,1.1334,1.1046
2019-10-11,1.223,1.223,1.223,1.1345,1.0885
2019-10-18,1.253,1.253,1.253,1.1343,1.1187
2019-10-25,1.236,1.236,1.236,1.1336,1.1024
2019-11-01,1.252,1.252,1.252,1.1316,1.1204
2019-11-08,1.262,1.262,1.262,1.1334,1.1286
2019-11-15,1.298,1.298,1.298,1.1354,1.1626
2019-11-22,1.303,1.303,1.303,1.1394,1.1636
2019-11-29,1.288,1.288,1.288,1.1401,1.1479
2019-12-06,1.276,1.276,1.276,1.1406,1.1354
2019-12-13,1.304,1.304,1.304,1.1419,1.1621
2019-12-20,1.286,1.286,1.286,1.1429,1.1431
2019-12-27,1.289,1.289,1.289,1.1464,1.1426
2020-01-03,1.286,1.286,1.286,1.1471,1.1389
2020-01-10,1.3,1.3,1.3,1.1492,1.1508
2020-01-17,1.297,1.297,1.297,1.1505,1.1465
2020-01-23,1.311,1.311,1.311,1.154,1.157
2020-02-07,1.513,1.513,1.513,1.1624,1.3506
2020-02-14,1.504,1.504,1.504,1.1641,1.3399
2020-02-21,1.502,1.502,1.502,1.1644,1.3376
2020-02-28,1.471,1.471,1.471,1.1681,1.3029
2020-03-06,1.486,1.486,1.486,1.1706,1.3154
2020-03-13,1.462,1.462,1.462,1.1727,1.2893
