date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-12-27,1.1149,1.5782,1.6923,1.3583,1.334
2025-01-03,1.1163,1.5796,1.6944,1.3638,1.3306
2025-01-10,1.1166,1.5799,1.6949,1.3677,1.3272
2025-01-17,1.115,1.5783,1.6924,1.4233,1.2691
2025-01-24,1.118,1.5813,1.697,1.405,1.292
2025-01-27,1.117,1.5803,1.6955,1.4045,1.291
2025-02-07,1.1188,1.5821,1.6982,1.4267,1.2715
2025-02-14,1.1219,1.5852,1.7029,1.4143,1.2887
2025-02-21,1.1233,1.5866,1.705,1.4249,1.2802
2025-02-28,1.123,1.5863,1.7046,1.4006,1.3039
2025-03-07,1.1244,1.5877,1.7067,1.3789,1.3278
2025-03-14,1.1229,1.5862,1.7044,1.3975,1.3069
2025-03-21,1.1245,1.5878,1.7069,1.3834,1.3235
2025-03-28,1.1225,1.5858,1.7038,1.4006,1.3033
2025-04-03,1.128,1.5913,1.7122,1.3943,1.3179
2025-04-11,1.1291,1.5924,1.7138,1.3232,1.3907
2025-04-18,1.1322,1.5955,1.7186,1.3285,1.3901
2025-04-25,1.1362,1.5995,1.7246,1.3457,1.3789
2025-04-30,1.1368,1.6001,1.7255,1.3208,1.4047
2025-05-09,1.1395,1.6028,1.7296,1.3097,1.4199
2025-05-16,1.1394,1.6027,1.7295,1.3168,1.4126
