date,nav_adjusted,H11009.CSI,excess_nav
2021-11-23,2.3535,1.1155,2.238
2021-11-24,2.3362,1.1162,2.22
2021-11-25,2.3195,1.1164,2.2031
2021-11-26,2.319,1.1174,2.2016
2021-11-29,2.3225,1.1176,2.2049
2021-11-30,2.3253,1.1175,2.2078
2021-12-01,2.3243,1.1177,2.2066
2021-12-02,2.3175,1.1175,2.2
2021-12-03,2.3325,1.1173,2.2152
2021-12-06,2.3242,1.1191,2.2051
2021-12-07,2.3117,1.119,2.1927
2021-12-08,2.3318,1.1189,2.2129
2021-12-09,2.3559,1.119,2.2369
2021-12-10,2.3544,1.119,2.2354
2021-12-13,2.3414,1.1192,2.2222
2021-12-14,2.3305,1.1196,2.2109
2021-12-15,2.3299,1.1199,2.21
2021-12-16,2.3334,1.1198,2.2136
2021-12-17,2.3153,1.1202,2.1951
2021-12-20,2.2995,1.12,2.1795
2021-12-21,2.3056,1.12,2.1856
2021-12-22,2.2986,1.1204,2.1782
2021-12-23,2.2996,1.1207,2.1789
2021-12-24,2.2973,1.1209,2.1764
2021-12-27,2.2915,1.1217,2.1698
2021-12-28,2.2982,1.1221,2.1761
2021-12-29,2.2854,1.1227,2.1627
2021-12-30,2.2902,1.1236,2.1666
2021-12-31,2.2938,1.1241,2.1697
2022-01-04,2.2862,1.1245,2.1617
2022-01-05,2.2683,1.1246,2.1437
2022-01-06,2.2507,1.1245,2.1262
2022-01-07,2.2549,1.1246,2.1303
2022-01-10,2.2547,1.1253,2.1294
2022-01-11,2.248,1.1258,2.1222
2022-01-12,2.2672,1.1264,2.1408
2022-01-13,2.2637,1.1268,2.1369
2022-01-14,2.2497,1.1271,2.1226
2022-01-17,2.2501,1.128,2.1221
2022-01-18,2.2551,1.1296,2.1255
2022-01-19,2.2643,1.1313,2.133
2022-01-20,2.2699,1.1319,2.138
2022-01-21,2.2614,1.1326,2.1288
2022-01-24,2.2647,1.1342,2.1305
2022-01-25,2.2351,1.1345,2.1006
2022-01-26,2.238,1.1337,2.1043
2022-01-27,2.2407,1.1334,2.1073
2022-01-28,2.234,1.1338,2.1002
2022-02-07,2.2562,1.1348,2.1214
2022-02-08,2.2474,1.135,2.1124
2022-02-09,2.2449,1.1349,2.11
2022-02-10,2.2534,1.1348,2.1186
2022-02-11,2.2457,1.1327,2.113
2022-02-14,2.2302,1.1327,2.0975
2022-02-15,2.2317,1.1323,2.0994
2022-02-16,2.2244,1.1322,2.0922
2022-02-17,2.2263,1.1326,2.0937
2022-02-18,2.2357,1.1324,2.1033
2022-02-21,2.2359,1.1317,2.1042
2022-02-22,2.2311,1.1309,2.1002
2022-02-23,2.2384,1.1308,2.1076
2022-02-24,2.2388,1.1313,2.1075
2022-02-25,2.2614,1.1312,2.1302
2022-02-28,2.2528,1.1317,2.1211
2022-03-01,2.2727,1.1313,2.1414
2022-03-02,2.285,1.1308,2.1542
2022-03-03,2.3007,1.1299,2.1708
2022-03-04,2.2919,1.1298,2.1621
2022-03-07,2.2871,1.13,2.1571
2022-03-08,2.2862,1.1303,2.1559
2022-03-09,2.2904,1.1299,2.1605
2022-03-10,2.2856,1.1294,2.1562
2022-03-11,2.267,1.1297,2.1373
2022-03-14,2.2486,1.132,2.1166
2022-03-15,2.2279,1.1306,2.0973
2022-03-16,2.2503,1.1303,2.12
2022-03-17,2.2551,1.1305,2.1246
2022-03-18,2.2555,1.1309,2.1246
2022-03-21,2.2434,1.1309,2.1125
2022-03-22,2.2447,1.1303,2.1144
2022-03-23,2.2451,1.1304,2.1147
2022-03-24,2.2514,1.1308,2.1206
2022-03-25,2.2384,1.1314,2.107
2022-03-28,2.2273,1.1318,2.0955
2022-03-29,2.2204,1.1319,2.0885
2022-03-30,2.2259,1.1325,2.0934
2022-03-31,2.2259,1.1327,2.0932
2022-04-01,2.2317,1.1333,2.0984
2022-04-06,2.2282,1.1347,2.0935
2022-04-07,2.2238,1.1355,2.0883
2022-04-08,2.2223,1.1359,2.0864
2022-04-11,2.2058,1.1362,2.0696
2022-04-12,2.2148,1.1361,2.0787
2022-04-13,2.2215,1.1363,2.0852
2022-04-14,2.2307,1.1371,2.0936
2022-04-15,2.2378,1.1374,2.1004
2022-04-18,2.2298,1.1365,2.0933
2022-04-19,2.2246,1.1367,2.0879
2022-04-20,2.2083,1.1364,2.0719
2022-04-21,2.2002,1.1366,2.0636
