date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2020-02-14,1.198,2.607,2.6709,1.0109,2.66
2020-02-21,1.212,2.621,2.7021,1.0317,2.6704
2020-02-28,1.188,2.597,2.6486,0.9686,2.68
2020-03-06,1.206,2.615,2.6888,0.9892,2.6996
2020-03-13,1.218,2.627,2.7155,0.9492,2.7664
2020-03-20,1.223,2.632,2.7267,0.9068,2.8199
2020-03-27,1.224,2.633,2.7289,0.9074,2.8215
2020-04-03,1.207,2.616,2.691,0.908,2.783
2020-04-10,1.231,2.64,2.7445,0.9471,2.7974
2020-04-17,1.209,2.618,2.6955,0.9318,2.7636
2020-04-24,1.221,2.63,2.7222,0.9234,2.7988
2020-04-30,1.218,2.627,2.7155,0.9306,2.785
2020-05-08,1.229,2.638,2.74,0.9522,2.7878
2020-05-15,1.232,2.641,2.7467,0.9558,2.791
2020-05-22,1.234,2.643,2.7512,0.9688,2.7824
2020-05-29,1.256,2.665,2.8002,0.9872,2.8131
2020-06-05,1.237,2.646,2.7579,1.0083,2.7496
2020-06-12,1.222,2.631,2.7244,0.999,2.7254
2020-06-19,1.227,2.636,2.7356,1.0172,2.7184
2020-06-24,1.233,2.642,2.749,1.0129,2.736
2020-07-03,1.313,2.722,2.9273,1.013,2.9144
2020-07-10,1.431,2.84,3.1904,1.019,3.1714
2020-07-17,1.414,2.823,3.1525,1.0305,3.122
2020-07-24,1.42,2.829,3.1659,1.0389,3.127
2020-07-31,1.403,2.812,3.128,1.0429,3.0851
2020-08-07,1.402,2.811,3.1258,1.0595,3.0663
2020-08-14,1.42,2.829,3.1659,1.0533,3.1126
2020-08-21,1.408,2.817,3.1391,1.052,3.0871
2020-08-28,1.412,2.821,3.148,1.0643,3.0837
2020-09-04,1.403,2.812,3.128,1.064,3.064
2020-09-11,1.387,2.796,3.0923,1.0295,3.0628
2020-09-18,1.385,2.794,3.0878,1.0453,3.0425
2020-09-25,1.372,2.781,3.0589,1.0098,3.0491
2020-09-30,1.37,2.779,3.0544,1.0066,3.0478
2020-10-09,1.369,2.778,3.0522,1.0372,3.015
2020-10-16,1.362,2.771,3.0366,1.0414,2.9951
2020-10-23,1.369,2.778,3.0522,1.0375,3.0147
2020-10-30,1.36,2.769,3.0321,1.0043,3.0279
2020-11-06,1.366,2.775,3.0455,1.0202,3.0253
2020-11-13,1.378,2.787,3.0722,1.0456,3.0267
2020-11-20,1.378,2.787,3.0722,1.0664,3.0059
2020-11-27,1.4,2.809,3.1213,1.0934,3.0279
2020-12-04,1.433,2.842,3.1949,1.1054,3.0895
2020-12-11,1.404,2.813,3.1302,1.127,3.0032
2020-12-18,1.407,2.816,3.1369,1.1766,2.9603
2020-12-25,1.401,2.81,3.1235,1.1763,2.9472
2020-12-31,1.401,2.81,3.1235,1.1603,2.9632
2021-01-08,1.446,2.855,3.2238,1.2162,3.0077
2021-01-15,1.453,2.862,3.2395,1.1901,3.0494
2021-01-22,1.431,2.84,3.1904,1.1759,3.0145
2021-01-29,1.395,2.804,3.1101,1.1656,2.9445
2021-02-05,1.389,2.798,3.0968,1.1891,2.9077
2021-02-10,1.362,2.771,3.0366,1.2121,2.8245
2021-02-19,1.365,2.774,3.0433,1.2617,2.7815
2021-02-26,1.351,2.76,3.012,1.2902,2.7219
2021-03-05,1.358,2.767,3.0277,1.2692,2.7584
2021-03-12,1.347,2.756,3.0031,1.2551,2.748
2021-03-19,1.358,2.767,3.0277,1.2137,2.814
2021-03-26,1.351,2.76,3.012,1.2272,2.7848
2021-04-02,1.345,2.754,2.9987,1.2623,2.7363
2021-04-09,1.351,2.76,3.012,1.2445,2.7675
2021-04-16,1.347,2.756,3.0031,1.2856,2.7175
2021-04-23,1.336,2.745,2.9786,1.2922,2.6864
2021-04-30,1.361,2.77,3.0343,1.313,2.7213
2021-05-07,1.375,2.784,3.0656,1.3716,2.694
2021-05-14,1.353,2.762,3.0165,1.3386,2.6779
2021-05-21,1.386,2.795,3.0901,1.2961,2.794
2021-05-28,1.376,2.785,3.0678,1.3157,2.752
2021-06-04,1.426,2.835,3.1793,1.3431,2.8361
2021-06-11,1.391,2.8,3.1012,1.3691,2.7321
2021-06-18,1.396,2.805,3.1124,1.3213,2.791
2021-06-25,1.398,2.807,3.1168,1.3568,2.7601
2021-07-02,1.44,2.849,3.2105,1.3583,2.8522
2021-07-09,1.566,2.975,3.4914,1.3548,3.1366
2021-07-16,1.544,2.953,3.4423,1.3785,3.0638
2021-07-23,1.573,2.982,3.507,1.3723,3.1347
2021-07-30,1.577,2.986,3.5159,1.3906,3.1253
2021-08-06,1.557,2.966,3.4713,1.3627,3.1086
2021-08-13,1.583,2.992,3.5293,1.361,3.1683
2021-08-20,1.588,2.997,3.5404,1.3148,3.2257
2021-08-27,1.553,2.962,3.4624,1.3634,3.0991
2021-09-03,1.561,2.97,3.4802,1.3772,3.1031
2021-09-10,1.539,2.948,3.4312,1.3803,3.0509
2021-09-17,1.546,2.955,3.4468,1.3576,3.0892
2021-09-24,1.556,2.965,3.4691,1.3903,3.0788
2021-09-30,1.5,2.909,3.3442,1.4265,2.9178
2021-10-08,1.515,2.924,3.3777,1.4664,2.9112
2021-10-15,1.518,2.927,3.3844,1.502,2.8823
2021-10-22,1.549,2.958,3.4535,1.4476,3.0059
2021-10-29,1.552,2.961,3.4602,1.3985,3.0617
2021-11-05,1.532,2.941,3.4156,1.3478,3.0678
2021-11-12,1.52,2.929,3.3888,1.3584,3.0304
2021-11-19,1.486,2.895,3.313,1.3574,2.9557
2021-11-26,1.469,2.878,3.2751,1.3629,2.9122
2021-12-03,1.559,2.968,3.4758,1.3404,3.1354
2021-12-10,1.657,3.066,3.6943,1.3531,3.3412
2021-12-17,1.616,3.025,3.6029,1.3833,3.2195
2021-12-24,1.094,2.98,3.4977,1.4094,3.0883
2021-12-31,1.081,2.967,3.4561,1.4033,3.0528
2022-01-07,1.098,2.984,3.5105,1.4415,3.069
2022-01-14,1.066,2.952,3.4082,1.4682,2.9399
2022-01-21,1.072,2.958,3.4274,1.4907,2.9367
2022-01-28,1.06,2.946,3.389,1.5071,2.8818
2022-02-11,1.066,2.952,3.4082,1.526,2.8822
2022-02-18,1.059,2.945,3.3858,1.5266,2.8592
2022-02-25,1.049,2.935,3.3538,1.5431,2.8107
2022-03-04,1.045,2.931,3.341,1.6577,2.6833
2022-03-11,1.086,2.972,3.4721,1.6974,2.7747
2022-03-18,1.066,2.952,3.4082,1.6859,2.7222
2022-03-25,1.043,2.929,3.3346,1.7545,2.5801
2022-04-01,1.013,2.899,3.2387,1.7198,2.519
2022-04-08,1.038,2.924,3.3187,1.7177,2.601
2022-04-15,1.142,3.028,3.6512,1.7805,2.8706
2022-04-22,1.133,3.019,3.6224,1.7571,2.8653
2022-04-29,1.133,3.019,3.6224,1.7548,2.8676
2022-05-06,1.127,3.013,3.6032,1.7217,2.8815
2022-05-13,1.095,2.981,3.5009,1.7025,2.7984
2022-05-20,1.112,2.998,3.5552,1.7269,2.8283
2022-05-27,1.102,2.988,3.5233,1.7422,2.781
2022-06-02,1.13,3.016,3.6128,1.7768,2.836
2022-06-10,1.102,2.988,3.5233,1.793,2.7303
2022-06-17,1.108,2.994,3.5425,1.6973,2.8451
2022-06-24,1.101,2.987,3.5201,1.5738,2.9463
2022-07-01,1.12,3.006,3.5808,1.5801,3.0007
2022-07-08,1.123,3.009,3.5904,1.5205,3.0699
2022-07-15,1.121,3.007,3.584,1.3856,3.1984
2022-07-22,1.111,2.997,3.552,1.462,3.09
2022-07-29,1.111,2.997,3.552,1.5482,3.0038
2022-08-05,1.103,2.989,3.5265,1.5299,2.9966
2022-08-12,1.075,2.961,3.437,1.5813,2.8557
2022-08-19,1.083,2.969,3.4625,1.5326,2.9299
2022-08-26,1.078,2.964,3.4465,1.6006,2.846
