date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2020-06-24,1.2923,1.2923,1.2923,1.0146,1.2777
2020-07-03,1.2957,1.2957,1.2957,1.0147,1.281
2020-07-10,1.3221,1.3221,1.3221,1.0208,1.3013
2020-07-17,1.3324,1.3324,1.3324,1.0323,1.3001
2020-07-24,1.3679,1.3679,1.3679,1.0406,1.3273
2020-07-31,1.3784,1.3784,1.3784,1.0447,1.3337
2020-08-07,1.4089,1.4089,1.4089,1.0613,1.3476
2020-08-14,1.3862,1.3862,1.3862,1.055,1.3312
2020-08-21,1.3863,1.3863,1.3863,1.0538,1.3325
2020-08-28,1.3723,1.3723,1.3723,1.0661,1.3062
2020-09-04,1.3694,1.3694,1.3694,1.0658,1.3036
2020-09-11,1.3587,1.3587,1.3587,1.0312,1.3275
2020-09-18,1.3752,1.3752,1.3752,1.0471,1.3281
2020-09-25,1.3863,1.3863,1.3863,1.0115,1.3748
2020-09-30,1.383,1.383,1.383,1.0082,1.3748
2020-10-09,1.3661,1.3661,1.3661,1.039,1.3271
2020-10-16,1.3503,1.3503,1.3503,1.0432,1.3071
2020-10-23,1.3495,1.3495,1.3495,1.0393,1.3102
2020-10-30,1.3685,1.3685,1.3685,1.0059,1.3626
2020-11-06,1.3883,1.3883,1.3883,1.0219,1.3664
2020-11-13,1.3904,1.3904,1.3904,1.0473,1.3431
2020-11-20,1.4284,1.4284,1.4284,1.0682,1.3602
2020-11-27,1.4425,1.4425,1.4425,1.0952,1.3473
2020-12-04,1.4658,1.4658,1.4658,1.1072,1.3586
2020-12-11,1.5334,1.5334,1.5334,1.1289,1.4045
2020-12-18,1.5225,1.5225,1.5225,1.1785,1.344
2020-12-25,1.4813,1.4813,1.4813,1.1783,1.303
2020-12-31,1.4834,1.4834,1.4834,1.1622,1.3212
2021-01-08,1.4954,1.4954,1.4954,1.2182,1.2772
2021-01-15,1.4957,1.4957,1.4957,1.1921,1.3036
2021-01-22,1.4701,1.4701,1.4701,1.1779,1.2922
2021-01-29,1.4765,1.4765,1.4765,1.1676,1.3089
2021-02-05,1.4592,1.4592,1.4592,1.1911,1.2681
2021-02-10,1.4619,1.4619,1.4619,1.2141,1.2478
2021-02-19,1.4981,1.4981,1.4981,1.2638,1.2343
2021-02-26,1.5377,1.5377,1.5377,1.2923,1.2454
2021-03-05,1.5247,1.5247,1.5247,1.2714,1.2533
2021-03-12,1.5405,1.5405,1.5405,1.2572,1.2833
2021-03-19,1.5324,1.5324,1.5324,1.2157,1.3167
2021-03-26,1.5436,1.5436,1.5436,1.2293,1.3143
2021-04-02,1.5399,1.5399,1.5399,1.2644,1.2755
2021-04-09,1.5433,1.5433,1.5433,1.2466,1.2967
2021-04-16,1.5259,1.5259,1.5259,1.2878,1.2381
2021-04-23,1.5475,1.5475,1.5475,1.2944,1.2531
2021-04-30,1.5468,1.5468,1.5468,1.3152,1.2316
2021-05-07,1.6097,1.6097,1.6097,1.3739,1.2358
2021-05-14,1.6175,1.6175,1.6175,1.3408,1.2767
2021-05-21,1.5908,1.5908,1.5908,1.2983,1.2925
2021-05-28,1.5855,1.5855,1.5855,1.3179,1.2676
2021-06-04,1.5628,1.5628,1.5628,1.3454,1.2174
