date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2024-06-28,1.2228,1.2482,1.2511,1.1372,1.1139
2024-07-05,1.2227,1.2481,1.251,1.1509,1.1
2024-07-12,1.2283,1.2537,1.2567,1.1307,1.126
2024-07-19,1.2296,1.255,1.258,1.1131,1.1449
2024-07-26,1.236,1.2614,1.2646,1.0867,1.1779
2024-08-02,1.2467,1.2721,1.2755,1.0847,1.1908
2024-08-09,1.2201,1.2455,1.2483,1.0543,1.194
2024-08-16,1.2478,1.2732,1.2767,1.0362,1.2404
2024-08-23,1.2413,1.2667,1.27,1.0377,1.2323
2024-08-30,1.2421,1.2675,1.2708,1.0619,1.2089
2024-09-06,1.2241,1.2495,1.2524,1.0111,1.2414
2024-09-13,1.2421,1.2675,1.2708,1.0165,1.2543
2024-09-20,1.2393,1.2647,1.268,1.0302,1.2378
2024-09-27,1.2672,1.2926,1.2965,1.0743,1.2222
2024-09-30,1.2599,1.2853,1.289,1.1108,1.1783
2024-10-11,1.3092,1.3346,1.3395,1.1036,1.2359
2024-10-18,1.3113,1.3367,1.3416,1.0837,1.2579
2024-10-25,1.3036,1.329,1.3337,1.0943,1.2394
2024-11-01,1.3062,1.3316,1.3364,1.0953,1.2411
2024-11-08,1.3144,1.3398,1.3448,1.1053,1.2395
2024-11-15,1.3444,1.3698,1.3755,1.0645,1.311
2024-11-22,1.343,1.3684,1.3741,1.078,1.2961
2024-11-29,1.3395,1.3649,1.3705,1.0833,1.2872
2024-12-06,1.3498,1.3752,1.381,1.0743,1.3067
2024-12-13,1.3727,1.3981,1.4044,1.0852,1.3192
2024-12-20,1.3814,1.4068,1.4133,1.0603,1.353
2024-12-27,1.3875,1.4129,1.4196,1.0631,1.3565
2025-01-03,1.3403,1.4112,1.4178,1.0674,1.3504
2025-01-10,1.3256,1.3965,1.4023,1.0705,1.3318
2025-01-17,1.328,1.3989,1.4048,1.114,1.2908
2025-01-24,1.3258,1.3967,1.4025,1.0997,1.3028
2025-01-27,1.3271,1.398,1.4039,1.0993,1.3046
2025-02-07,1.3284,1.3993,1.4053,1.1167,1.2886
2025-02-14,1.3315,1.4024,1.4085,1.1069,1.3016
2025-02-21,1.3261,1.397,1.4028,1.1152,1.2876
2025-02-28,1.322,1.3929,1.3985,1.0963,1.3022
2025-03-07,1.3196,1.3905,1.3959,1.0792,1.3167
2025-03-14,1.3181,1.389,1.3944,1.0938,1.3006
2025-03-21,1.3178,1.3887,1.394,1.0828,1.3113
2025-03-28,1.3222,1.3931,1.3987,1.0962,1.3025
2025-04-03,1.3251,1.396,1.4018,1.0913,1.3105
2025-04-11,1.3348,1.4057,1.412,1.0356,1.3764
2025-04-18,1.3359,1.4068,1.4132,1.0398,1.3734
2025-04-25,1.3534,1.4243,1.4317,1.0533,1.3784
2025-04-30,1.3477,1.4186,1.4257,1.0338,1.3919
2025-05-09,1.344,1.4149,1.4218,1.0251,1.3967
2025-05-16,1.367,1.4379,1.4461,1.0307,1.4154
