date,nav_adjusted,NH0100.NHF,excess_nav
2024-02-23,1.612,1.1097,1.5023
2024-03-01,1.6092,1.1117,1.4975
2024-03-08,1.614,1.1292,1.4848
2024-03-15,1.6009,1.1237,1.4772
2024-03-22,1.6206,1.1334,1.4872
2024-03-29,1.6032,1.1169,1.4863
2024-04-03,1.5918,1.1333,1.4585
2024-04-12,1.5739,1.1755,1.3984
2024-04-19,1.5704,1.1805,1.3899
2024-04-26,1.5964,1.1894,1.407
2024-04-30,1.6293,1.182,1.4473
2024-05-10,1.5844,1.1772,1.4072
2024-05-17,1.5939,1.201,1.3929
2024-05-24,1.64,1.2079,1.4321
2024-05-31,1.6096,1.2019,1.4077
2024-06-07,1.6139,1.1812,1.4327
2024-06-14,1.5593,1.1691,1.3902
2024-06-21,1.6074,1.1631,1.4443
2024-06-28,1.6081,1.167,1.4411
2024-07-05,1.6068,1.1812,1.4256
2024-07-12,1.5816,1.1604,1.4212
2024-07-19,1.6193,1.1423,1.477
2024-07-26,1.6802,1.1153,1.5649
2024-08-02,1.6578,1.1132,1.5446
2024-08-09,1.6654,1.082,1.5834
2024-08-16,1.65,1.0634,1.5866
2024-08-23,1.6585,1.0649,1.5936
2024-08-30,1.7091,1.0898,1.6193
2024-09-06,1.817,1.0376,1.7794
2024-09-13,1.8034,1.0432,1.7602
2024-09-20,1.8293,1.0572,1.7721
2024-09-27,1.9068,1.1025,1.8043
2024-09-30,2.0489,1.1399,1.909
2024-10-11,2.1752,1.1326,2.0426
2024-10-18,2.1047,1.1122,1.9925
2024-10-25,2.0869,1.1231,1.9638
2024-11-01,1.9773,1.124,1.8533
2024-11-08,1.9669,1.1343,1.8326
2024-11-15,1.9667,1.0924,1.8743
2024-11-22,1.9494,1.1063,1.8431
2024-11-29,1.8936,1.1117,1.7819
2024-12-06,1.9058,1.1025,1.8033
2024-12-13,1.8346,1.1137,1.7209
2024-12-20,1.9409,1.0882,1.8527
2024-12-27,1.919,1.0911,1.8279
2025-01-03,2.0649,1.0954,1.9695
2025-01-10,2.0805,1.0986,1.9819
2025-01-17,2.0711,1.1433,1.9278
2025-01-24,2.021,1.1285,1.8925
2025-01-27,2.0133,1.1282,1.8851
2025-02-07,2.0335,1.146,1.8875
2025-02-14,2.0285,1.136,1.8925
2025-02-21,2.0367,1.1445,1.8922
2025-02-28,2.0203,1.1251,1.8952
2025-03-07,2.0017,1.1076,1.8941
2025-03-14,2.0109,1.1225,1.8884
2025-03-21,2.0194,1.1112,1.9082
2025-03-28,1.971,1.125,1.846
2025-04-03,1.9689,1.12,1.8489
2025-04-11,2.1125,1.0628,2.0497
2025-04-18,2.1138,1.0671,2.0467
2025-04-25,2.0712,1.0809,1.9903
2025-04-30,2.106,1.0609,2.0451
2025-05-09,2.1304,1.052,2.0784
2025-05-16,2.0116,1.0577,1.9539
2025-05-23,2.0069,1.0525,1.9544
2025-05-30,2.0944,1.0355,2.0589
2025-06-06,2.1029,1.0543,2.0486
2025-06-13,2.1118,1.0768,2.035
2025-06-20,2.0919,1.1015,1.9904
2025-06-27,2.1324,1.0795,2.0529
2025-07-04,2.0768,1.088,1.9888
2025-07-11,2.2859,1.099,2.1869
2025-07-18,2.3033,1.1137,2.1896
2025-07-25,2.4317,1.1441,2.2876
