date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2018-03-30,1.209,1.209,1.209,0.9444,1.2646
2018-04-04,1.213,1.213,1.213,0.9454,1.2676
2018-04-13,1.209,1.209,1.209,0.952,1.257
2018-04-20,1.201,1.201,1.201,0.9604,1.2406
2018-04-27,1.216,1.216,1.216,0.9638,1.2522
2018-05-04,1.217,1.217,1.217,0.9774,1.2396
2018-05-11,1.22,1.22,1.22,0.9837,1.2363
2018-05-18,1.218,1.218,1.218,0.9807,1.2373
2018-05-25,1.227,1.227,1.227,0.9726,1.2544
2018-06-01,1.231,1.231,1.231,0.9886,1.2424
2018-06-08,1.238,1.238,1.238,0.9869,1.2511
2018-06-15,1.241,1.241,1.241,0.9922,1.2488
2018-06-22,1.231,1.231,1.231,0.9652,1.2658
2018-06-29,1.236,1.236,1.236,0.9855,1.2505
2018-07-06,1.256,1.256,1.256,0.9644,1.2916
2018-07-13,1.267,1.267,1.267,0.9645,1.3025
2018-07-20,1.248,1.248,1.248,0.9708,1.2772
2018-07-27,1.262,1.262,1.262,0.9948,1.2672
2018-08-03,1.283,1.283,1.283,1.0065,1.2765
2018-08-10,1.312,1.312,1.312,1.0211,1.2909
2018-08-17,1.377,1.377,1.377,1.02,1.357
2018-08-24,1.359,1.359,1.359,1.0257,1.3333
2018-08-31,1.375,1.375,1.375,1.0141,1.3609
2018-09-07,1.375,1.375,1.375,1.0081,1.3669
2018-09-14,1.33,1.33,1.33,1.0097,1.3203
2018-09-21,1.378,1.378,1.378,1.022,1.356
2018-09-28,1.39,1.39,1.39,1.0191,1.3709
2018-10-12,1.487,1.487,1.487,1.0522,1.4348
2018-10-19,1.491,1.491,1.491,1.0332,1.4578
2018-10-26,1.577,1.577,1.577,1.0358,1.5412
2018-11-02,1.624,1.624,1.624,1.0046,1.6194
2018-11-09,1.581,1.581,1.581,0.993,1.588
2018-11-16,1.545,1.545,1.545,0.9881,1.5569
2018-11-23,1.473,1.473,1.473,0.9432,1.5298
2018-11-30,1.499,1.499,1.499,0.9367,1.5623
2018-12-07,1.541,1.541,1.541,0.962,1.579
2018-12-14,1.562,1.562,1.562,0.9632,1.5988
2018-12-21,1.599,1.599,1.599,0.956,1.643
2018-12-28,1.605,1.605,1.605,0.9422,1.6628
2019-01-04,1.578,1.578,1.578,0.961,1.617
2019-01-11,1.604,1.604,1.604,0.9712,1.6328
2019-01-18,1.654,1.654,1.654,0.9874,1.6666
2019-01-25,1.681,1.681,1.681,0.9899,1.6911
2019-02-01,1.775,1.775,1.775,1.0155,1.7595
2019-02-15,1.841,1.841,1.841,1.0074,1.8336
2019-02-22,1.728,1.728,1.728,1.0325,1.6955
2019-03-01,1.757,1.757,1.757,1.0388,1.7182
2019-03-08,1.824,1.824,1.824,1.0139,1.8101
2019-03-15,1.873,1.873,1.873,1.0146,1.8584
2019-03-22,1.92,1.92,1.92,1.0147,1.9053
2019-03-29,2.078,2.078,2.078,1.0062,2.0718
2019-04-04,2.079,2.079,2.079,1.0318,2.0472
2019-04-12,2.111,2.111,2.111,1.0441,2.0669
2019-04-19,2.153,2.153,2.153,1.0307,2.1223
2019-04-26,2.175,2.175,2.175,1.0269,2.1481
2019-04-30,2.201,2.201,2.201,1.0346,2.1664
2019-05-10,2.244,2.244,2.244,1.0349,2.2091
2019-05-17,2.335,2.335,2.335,1.0487,2.2863
2019-05-24,2.45,2.45,2.45,1.0469,2.4031
2019-05-31,2.319,2.319,2.319,1.0341,2.2849
2019-06-06,2.23,2.23,2.23,1.0163,2.2137
2019-06-14,2.288,2.288,2.288,1.0324,2.2556
2019-06-21,2.408,2.408,2.408,1.0445,2.3635
2019-06-28,2.51,2.51,2.51,1.0563,2.4537
2019-07-05,2.548,2.548,2.548,1.0531,2.4949
2019-07-12,2.556,2.556,2.556,1.0607,2.4953
2019-07-19,2.511,2.511,2.511,1.0765,2.4345
2019-07-26,2.46,2.46,2.46,1.0602,2.3998
2019-08-02,2.409,2.409,2.409,1.0461,2.3629
2019-08-09,2.496,2.496,2.496,1.0315,2.4645
2019-08-16,2.479,2.479,2.479,1.0336,2.4454
2019-08-23,2.464,2.464,2.464,1.0331,2.4309
2019-08-30,2.431,2.431,2.431,1.039,2.392
2019-09-06,2.35,2.35,2.35,1.0474,2.3026
2019-09-12,2.376,2.376,2.376,1.0662,2.3098
2019-09-20,2.302,2.302,2.302,1.052,2.25
2019-09-27,2.296,2.296,2.296,1.0421,2.2539
2019-09-30,2.301,2.301,2.301,1.0455,2.2555
2019-10-11,2.299,2.299,2.299,1.0475,2.2515
2019-10-18,2.284,2.284,2.284,1.0312,2.2528
2019-10-25,2.328,2.328,2.328,1.0441,2.2839
2019-11-01,2.346,2.346,2.346,1.0399,2.3061
2019-11-08,2.332,2.332,2.332,1.0343,2.2977
2019-11-15,2.348,2.348,2.348,1.035,2.313
2019-11-22,2.352,2.352,2.352,1.0492,2.3028
2019-11-29,2.338,2.338,2.338,1.0476,2.2904
2019-12-06,2.332,2.332,2.332,1.0582,2.2738
2019-12-13,2.339,2.339,2.339,1.0766,2.2624
2019-12-20,2.386,2.386,2.386,1.0786,2.3074
2019-12-27,2.375,2.375,2.375,1.088,2.287
2020-01-03,2.464,2.464,2.464,1.0892,2.3748
2020-01-10,2.436,2.436,2.436,1.0881,2.3479
2020-01-17,2.408,2.408,2.408,1.0832,2.3248
2020-01-23,2.471,2.471,2.471,1.0571,2.4139
2020-02-07,2.486,2.486,2.486,1.0086,2.4774
2020-02-14,2.432,2.432,2.432,1.0192,2.4128
2020-02-21,2.517,2.517,2.517,1.0401,2.4769
2020-02-28,2.56,2.56,2.56,0.9765,2.5835
2020-03-06,2.621,2.621,2.621,0.9972,2.6238
2020-03-13,2.974,2.974,2.974,0.9569,3.0171
2020-03-20,3.267,3.267,3.267,0.9142,3.3528
2020-03-27,3.319,3.319,3.319,0.9148,3.4042
2020-04-03,3.198,3.198,3.198,0.9154,3.2826
2020-04-10,3.132,3.132,3.132,0.9548,3.1772
