date,nav_unit,nav_accumulated,nav_adjusted,NH0100.NHF,excess_nav
2022-05-20,1.177,1.177,1.177,1.6775,0.4995
2022-05-27,1.191,1.191,1.191,1.6924,0.4986
2022-06-02,1.192,1.192,1.192,1.7259,0.4661
2022-06-10,1.208,1.208,1.208,1.7416,0.4664
2022-06-17,1.181,1.181,1.181,1.6487,0.5323
2022-06-24,1.2,1.2,1.2,1.5288,0.6712
2022-07-01,1.203,1.203,1.203,1.5349,0.6681
2022-07-08,1.215,1.215,1.215,1.477,0.738
2022-07-15,1.237,1.237,1.237,1.3459,0.8911
2022-07-22,1.229,1.229,1.229,1.4202,0.8088
2022-07-29,1.23,1.23,1.23,1.5039,0.7261
2022-08-05,1.225,1.225,1.225,1.4861,0.7389
2022-08-12,1.237,1.237,1.237,1.536,0.701
2022-08-19,1.23,1.23,1.23,1.4888,0.7412
2022-08-26,1.226,1.226,1.226,1.5548,0.6712
2022-09-02,1.218,1.218,1.218,1.4756,0.7424
2022-09-09,1.214,1.214,1.214,1.5086,0.7054
2022-09-16,1.22,1.22,1.22,1.5178,0.7022
2022-09-23,1.225,1.225,1.225,1.5276,0.6974
2022-09-30,1.228,1.228,1.228,1.5213,0.7067
2022-10-14,1.222,1.222,1.222,1.5556,0.6664
2022-10-21,1.222,1.222,1.222,1.5138,0.7082
2022-10-28,1.236,1.236,1.236,1.4919,0.7441
2022-11-04,1.231,1.231,1.231,1.5416,0.6894
2022-11-11,1.248,1.248,1.248,1.5794,0.6686
2022-11-18,1.247,1.247,1.247,1.5703,0.6767
2022-11-25,1.241,1.241,1.241,1.5579,0.6831
2022-12-02,1.244,1.244,1.244,1.58,0.664
2022-12-09,1.271,1.271,1.271,1.5834,0.6876
2022-12-16,1.276,1.276,1.276,1.5971,0.6789
2022-12-23,1.262,1.262,1.262,1.583,0.679
2022-12-30,1.257,1.257,1.257,1.6312,0.6258
2023-01-06,1.242,1.242,1.242,1.5956,0.6464
2023-01-13,1.246,1.246,1.246,1.6305,0.6155
2023-01-20,1.265,1.265,1.265,1.6679,0.5971
2023-02-03,1.246,1.246,1.246,1.6301,0.6159
2023-02-10,1.238,1.238,1.238,1.6188,0.6192
2023-02-17,1.231,1.231,1.231,1.6326,0.5984
2023-02-24,1.219,1.219,1.219,1.6517,0.5673
2023-03-03,1.201,1.201,1.201,1.6586,0.5424
2023-03-10,1.208,1.208,1.208,1.6258,0.5822
2023-03-17,1.223,1.223,1.223,1.5903,0.6327
2023-03-24,1.236,1.236,1.236,1.5863,0.6497
2023-03-31,1.232,1.232,1.232,1.6081,0.6239
2023-04-07,1.25,1.25,1.25,1.619,0.631
2023-04-14,1.255,1.255,1.255,1.6105,0.6445
2023-04-21,1.25,1.25,1.25,1.5769,0.6731
2023-04-28,1.272,1.272,1.272,1.542,0.73
2023-05-05,1.293,1.293,1.293,1.5255,0.7675
2023-05-12,1.287,1.287,1.287,1.4961,0.7909
2023-05-19,1.281,1.281,1.281,1.5199,0.7611
2023-05-26,1.307,1.307,1.307,1.4848,0.8222
2023-06-02,1.292,1.292,1.292,1.5074,0.7846
2023-06-09,1.285,1.285,1.285,1.5389,0.7461
2023-06-16,1.286,1.286,1.286,1.5787,0.7073
2023-06-21,1.282,1.282,1.282,1.5713,0.7107
2023-06-30,1.279,1.279,1.279,1.5743,0.7047
2023-07-07,1.285,1.285,1.285,1.591,0.694
2023-07-14,1.323,1.323,1.323,1.6445,0.6785
2023-07-21,1.306,1.306,1.306,1.6589,0.6471
2023-07-28,1.31,1.31,1.31,1.677,0.633
2023-08-04,1.31,1.31,1.31,1.6662,0.6438
2023-08-11,1.307,1.307,1.307,1.6675,0.6395
2023-08-18,1.329,1.329,1.329,1.6845,0.6445
2023-08-25,1.364,1.364,1.364,1.7314,0.6326
2023-09-01,1.378,1.378,1.378,1.773,0.605
2023-09-08,1.392,1.392,1.392,1.7512,0.6408
2023-09-15,1.406,1.406,1.406,1.799,0.607
2023-09-22,1.389,1.389,1.389,1.7766,0.6124
2023-09-28,1.387,1.387,1.387,1.7707,0.6163
2023-10-13,1.377,1.377,1.377,1.718,0.659
2023-10-20,1.393,1.393,1.393,1.7296,0.6634
2023-10-27,1.376,1.376,1.376,1.7434,0.6326
2023-11-03,1.388,1.388,1.388,1.7577,0.6303
2023-11-10,1.406,1.406,1.406,1.7508,0.6552
2023-11-17,1.401,1.401,1.401,1.7421,0.6589
2023-11-24,1.408,1.408,1.408,1.7466,0.6614
2023-12-01,1.414,1.414,1.414,1.7393,0.6747
2023-12-08,1.45,1.45,1.45,1.7451,0.7049
2023-12-15,1.433,1.433,1.433,1.7227,0.7103
2023-12-22,1.448,1.448,1.448,1.7564,0.6916
2023-12-29,1.434,1.434,1.434,1.7324,0.7016
2024-01-05,1.425,1.425,1.425,1.7256,0.6994
2024-01-12,1.437,1.437,1.437,1.7162,0.7208
2024-01-19,1.434,1.434,1.434,1.7235,0.7105
2024-01-26,1.439,1.439,1.439,1.7525,0.6865
2024-02-02,1.423,1.423,1.423,1.7014,0.7216
2024-02-08,1.428,1.428,1.428,1.7157,0.7123
2024-02-23,1.421,1.421,1.421,1.7253,0.6957
2024-03-01,1.412,1.412,1.412,1.7284,0.6836
